player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year,allstar
1628382,Justin Jackson,BOS,27,23,0.652,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0,0.1,0.5,0.1,0.7,0.7,0.4,0.1,0.2,0.2,0.9,-3.1,3.3,0,0,2.9,87.1,112.3,-25.2,0.145,4.5,0.071,5.1,0.352,0.359,0.122,101.21,84.34,0.052,2022,FALSE
1628384,O.G. Anunoby,TOR,25,50,0.48,35.8,6.1,13.5,0.456,1.9,5.2,0.362,2.4,2.9,0.828,1.5,3.9,5.4,2,2.2,2,0.8,16.6,0.6,32.1,2,0,31.3,110.8,110.6,0.2,0.083,0.92,0.075,11.5,0.526,0.562,0.197,98.84,82.36,0.085,2022,FALSE
1628386,Jarrett Allen,CLE,24,58,0.621,33.3,6.1,9.4,0.652,0,0.2,0.111,2.4,3.3,0.731,3.2,6.7,9.9,1.6,1.4,0.8,1.2,14.7,4.7,33.6,28,0,30.2,115.4,108.2,7.2,0.071,1.13,0.158,10.4,0.653,0.677,0.163,96.44,80.37,0.135,2022,FALSE
1628389,Bam Adebayo,MIA,25,59,0.508,35,8.4,15.6,0.536,0,0.2,0.083,4.4,5.5,0.805,2.6,7.1,9.7,3.2,2.5,1.2,0.8,21.2,1.6,41.1,28,0,38.1,110.4,108.8,1.6,0.156,1.28,0.143,10.6,0.536,0.587,0.257,97.28,81.06,0.148,2022,TRUE
1628392,Isaiah Hartenstein,NYK,24,65,0.585,19.6,2.2,4.1,0.524,0.1,0.5,0.235,0.6,0.9,0.75,2.8,3.8,6.6,0.9,0.8,0.6,0.8,5.1,1.8,17.6,2,0,15.4,114,109.7,4.4,0.061,1.12,0.158,12.9,0.539,0.565,0.111,99.81,83.17,0.086,2022,FALSE
1628396,Tony Bradley,CHI,25,12,0.417,2.8,0.5,1,0.5,0.3,0.4,0.6,0.3,0.3,1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,1.6,0.9,3.2,0,0,3.2,115.6,102.6,13,0.042,1,0.157,6.3,0.625,0.69,0.174,115.81,96.51,0.147,2022,FALSE
1628398,Kyle Kuzma,WAS,27,57,0.491,35.1,8.1,18.2,0.445,2.6,7.7,0.333,2.7,3.7,0.723,0.9,6.4,7.4,3.8,2.9,0.5,0.5,21.5,1.2,36.1,12,1,37.2,112.4,110.8,1.6,0.168,1.3,0.102,11.1,0.515,0.54,0.275,100.77,83.97,0.11,2022,FALSE
1628401,Derrick White,BOS,28,64,0.703,27.6,4.1,9,0.457,1.7,4.6,0.376,2,2.3,0.868,0.6,2.8,3.3,3.8,1.1,0.7,0.9,11.9,5.4,25.3,5,0,24,118.2,107.1,11.1,0.192,3.5,0.06,7.3,0.554,0.597,0.174,99.82,83.18,0.097,2022,FALSE
1628402,Frank Jackson,UTA,24,1,0,5.1,0,3,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,-2,3.9,0,0,3,96.6,139.6,-43,0.25,0,0.182,0,0,0,0.25,85.54,71.29,-0.026,2022,FALSE
1628404,Josh Hart,NYK,27,59,0.559,32.6,3.7,7.1,0.519,0.8,2.2,0.348,1.7,2.3,0.723,1.8,6,7.8,3.8,1.5,1.1,0.2,9.8,4,27.4,9,0,24.9,118.2,112.2,6,0.155,2.52,0.123,11.3,0.574,0.605,0.126,98.94,82.45,0.098,2022,FALSE
